study_experiment,variant_name,accuracy,macro_f1,balanced_accuracy,accept_rate,accepted_accuracy,reject_rate,false_reject_rate,false_accept_rate,update_count,wrong_update_rate,unknown_stream_fraction,initial_template_count,final_template_count
real_top8_oldlike_random_update_compare,probabilistic,0.14056420233463035,0.13988599554715003,0.13996374495859307,1.0,0.14056420233463035,0.0,0.0,0.0,2660,0.8695488721804512,0.0,8,8
real_top8_oldlike_random_update_compare,static,0.21108949416342412,0.20974394069806335,0.211120299085439,0.9998378728923476,0.21112372304199772,0.00016212710765239947,0.00016212710765239947,0.0,0,0.0,0.0,8,8
real_top8_oldlike_random_update_compare,top2_margin,0.11478599221789883,0.12877313541409519,0.11584932893321925,0.7775616083009079,0.14762301918265222,0.22243839169909208,0.22243839169909208,0.0,1706,0.8499413833528722,0.0,8,8
real_top8_oldlike_chronological_threshold_sweep,thr0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,8,8
real_top8_oldlike_chronological_threshold_sweep,thr10,0.05512321660181582,0.09131270941132755,0.05534184207251717,0.19957846952010377,0.27619821283509344,0.8004215304798963,0.8004215304798963,0.0,0,0.0,0.0,8,8
real_top8_oldlike_chronological_threshold_sweep,thr12,0.13229571984435798,0.16396760024935153,0.13293306730179,0.5869001297016861,0.225414364640884,0.41309987029831385,0.41309987029831385,0.0,0,0.0,0.0,8,8
real_top8_oldlike_chronological_threshold_sweep,thr14,0.19682230869001296,0.195924163049217,0.1975815782889292,0.9453631647211413,0.20819756474018178,0.054636835278858625,0.054636835278858625,0.0,0,0.0,0.0,8,8
real_top8_oldlike_chronological_threshold_sweep,thr16,0.20460440985732814,0.19749623015613146,0.20524498804422608,0.9996757457846952,0.20467077521894259,0.00032425421530479895,0.00032425421530479895,0.0,0,0.0,0.0,8,8
real_top8_oldlike_chronological_threshold_sweep,thr18,0.20476653696498054,0.1976198706594228,0.20537968632008813,1.0,0.20476653696498054,0.0,0.0,0.0,0,0.0,0.0,8,8
real_top8_oldlike_chronological_threshold_sweep,thr2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,8,8
real_top8_oldlike_chronological_threshold_sweep,thr20,0.20476653696498054,0.1976198706594228,0.20537968632008813,1.0,0.20476653696498054,0.0,0.0,0.0,0,0.0,0.0,8,8
real_top8_oldlike_chronological_threshold_sweep,thr24,0.20476653696498054,0.1976198706594228,0.20537968632008813,1.0,0.20476653696498054,0.0,0.0,0.0,0,0.0,0.0,8,8
real_top8_oldlike_chronological_threshold_sweep,thr4,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,0.0,8,8
real_top8_oldlike_chronological_threshold_sweep,thr6,0.0008106355382619975,0.0016932176237596545,0.0008521000624900598,0.0027561608300907914,0.29411764705882354,0.9972438391699092,0.9972438391699092,0.0,0,0.0,0.0,8,8
real_top8_oldlike_chronological_threshold_sweep,thr8,0.010700389105058366,0.020761402163895055,0.010824175788393495,0.03469520103761349,0.308411214953271,0.9653047989623865,0.9653047989623865,0.0,0,0.0,0.0,8,8
real_top50_mem20_open_threshold_sweep,thr0,0.0,0.0,0.0,0.0,0.0,1.0,0.535226256864331,0.0,0,0.0,0.464773743135669,20,20
real_top50_mem20_open_threshold_sweep,thr10,0.019283981099144355,0.015952636217860534,0.01368270876257174,0.36873696309224807,0.05229739090279381,0.6312630369077519,0.3319143501766634,0.16542505640458047,0,0.0,0.464773743135669,20,20
real_top50_mem20_open_threshold_sweep,thr12,0.03878080967178919,0.02072144876860316,0.02744262907040838,0.8298071601890086,0.0467347252860001,0.17019283981099145,0.08479843344259504,0.3793793367672726,0,0.0,0.464773743135669,20,20
real_top50_mem20_open_threshold_sweep,thr14,0.04405942701460134,0.020784846635984556,0.031080379292224874,0.9919117960069814,0.0444186944766319,0.008088203993018604,0.003277851091907539,0.4599633902345579,0,0.0,0.464773743135669,20,20
real_top50_mem20_open_threshold_sweep,thr16,0.04422970499340173,0.02072699829447434,0.03119084736552604,1.0,0.04422970499340173,0.0,0.0,0.464773743135669,0,0.0,0.464773743135669,20,20
real_top50_mem20_open_threshold_sweep,thr18,0.04422970499340173,0.02072699829447434,0.03119084736552604,1.0,0.04422970499340173,0.0,0.0,0.464773743135669,0,0.0,0.464773743135669,20,20
real_top50_mem20_open_threshold_sweep,thr2,0.0,0.0,0.0,0.0,0.0,1.0,0.535226256864331,0.0,0,0.0,0.464773743135669,20,20
real_top50_mem20_open_threshold_sweep,thr20,0.04422970499340173,0.02072699829447434,0.03119084736552604,1.0,0.04422970499340173,0.0,0.0,0.464773743135669,0,0.0,0.464773743135669,20,20
real_top50_mem20_open_threshold_sweep,thr24,0.04422970499340173,0.02072699829447434,0.03119084736552604,1.0,0.04422970499340173,0.0,0.0,0.464773743135669,0,0.0,0.464773743135669,20,20
real_top50_mem20_open_threshold_sweep,thr4,4.256949470009791e-05,6.25e-05,3.129890453834116e-05,8.513898940019582e-05,0.5,0.9999148610105998,0.535183687369631,4.256949470009791e-05,0,0.0,0.464773743135669,20,20
real_top50_mem20_open_threshold_sweep,thr6,0.0009790983781022518,0.0013595467494260166,0.0006909308984273304,0.006087437742114001,0.16083916083916083,0.993912562257886,0.5317355582989229,0.0025967391767059726,0,0.0,0.464773743135669,20,20
real_top50_mem20_open_threshold_sweep,thr8,0.0051083393640117495,0.006330088963095136,0.0036193053399332597,0.07053765271806224,0.07242003621001811,0.9294623472819378,0.4958494742667405,0.03116087012047167,0,0.0,0.464773743135669,20,20
