study_experiment,variant_name,accuracy,macro_f1,balanced_accuracy,accept_rate,accepted_accuracy,reject_rate,false_reject_rate,false_accept_rate,update_count,wrong_update_rate,initial_template_count,final_template_count,unknown_stream_fraction
update_compare_dense_stable,dual_template,0.5509581881533101,0.5470935822128399,0.5469585798628082,1.0,0.5509581881533101,0.0,0.0,0.0,1,0.0,12,12,0.0
update_compare_dense_stable,growing,0.5513937282229965,0.5478995968131544,0.5474884050840562,1.0,0.5513937282229965,0.0,0.0,0.0,0,0.0,12,12,0.0
update_compare_dense_stable,margin_ema,0.5513937282229965,0.5478995968131544,0.5474884050840562,1.0,0.5513937282229965,0.0,0.0,0.0,0,0.0,12,12,0.0
update_compare_dense_stable,probabilistic,0.5139372822299652,0.5082585316611145,0.5095765350774274,1.0,0.5139372822299652,0.0,0.0,0.0,621,0.4428341384863124,12,12,0.0
update_compare_dense_stable,static,0.5513937282229965,0.5478995968131544,0.5474884050840562,1.0,0.5513937282229965,0.0,0.0,0.0,0,0.0,12,12,0.0
update_compare_dense_stable,top2_margin,0.46210801393728224,0.5009169035402763,0.4597278613514673,0.820993031358885,0.5628647214854111,0.17900696864111498,0.17900696864111498,0.0,436,0.43577981651376146,12,12,0.0
update_compare_drift_closed,confidence_weighted,0.28451698279664756,0.2941618103796854,0.28315432174314115,1.0,0.28451698279664756,0.0,0.0,0.0,200,0.635,12,12,0.0
update_compare_drift_closed,cooldown,0.45963828848698723,0.45873270851224013,0.4581544803140096,1.0,0.45963828848698723,0.0,0.0,0.0,29,0.6551724137931034,12,12,0.0
update_compare_drift_closed,counter,0.4534627260696956,0.45127984812639393,0.4517555092532463,1.0,0.4534627260696956,0.0,0.0,0.0,76,0.39473684210526316,12,12,0.0
update_compare_drift_closed,dual_template,0.45963828848698723,0.4602370027391107,0.4582294237286699,1.0,0.45963828848698723,0.0,0.0,0.0,5,0.6,12,12,0.0
update_compare_drift_closed,growing,0.46846052051168946,0.46868290596283396,0.4671263447800608,1.0,0.46846052051168946,0.0,0.0,0.0,0,0.0,12,12,0.0
update_compare_drift_closed,margin_ema,0.46846052051168946,0.46868290596283396,0.4671263447800608,1.0,0.46846052051168946,0.0,0.0,0.0,0,0.0,12,12,0.0
update_compare_drift_closed,probabilistic,0.42214380238200266,0.42881012269510127,0.420674733968809,1.0,0.42214380238200266,0.0,0.0,0.0,677,0.5435745937961596,12,12,0.0
update_compare_drift_closed,static,0.46846052051168946,0.46868290596283396,0.4671263447800608,1.0,0.46846052051168946,0.0,0.0,0.0,0,0.0,12,12,0.0
update_compare_drift_closed,top2_margin,0.3811204234671372,0.4247441600191803,0.38091489355859864,0.7750330833700926,0.491747296528173,0.22496691662990737,0.22496691662990737,0.0,362,0.43370165745856354,12,12,0.0
update_compare_open_memory,confidence_weighted,0.17081223860884878,0.10213620258110764,0.16212367041295989,0.9997798811358133,0.17084984588287097,0.00022011886418666079,0.00022011886418666079,0.47831829187761393,198,0.8232323232323232,10,10,0.47831829187761393
update_compare_open_memory,cooldown,0.28725511776359236,0.1880722821125737,0.27534022067316494,0.9997798811358133,0.28731836195508587,0.00022011886418666079,0.0,0.4780981730134273,91,0.6263736263736264,10,10,0.47831829187761393
update_compare_open_memory,counter,0.2826326216156725,0.18532259113000943,0.27076059421387444,1.0,0.2826326216156725,0.0,0.0,0.47831829187761393,62,0.8387096774193549,10,10,0.47831829187761393
update_compare_open_memory,dual_template,0.2885758309487123,0.18785399165984232,0.2764320350770443,1.0,0.2885758309487123,0.0,0.0,0.47831829187761393,5,0.6,10,10,0.47831829187761393
update_compare_open_memory,growing,0.29231785163988555,0.18950611866763928,0.27990153352252667,0.9995597622716267,0.2924465976657124,0.00044023772837332157,0.0,0.4778780541492406,0,0.0,10,10,0.47831829187761393
update_compare_open_memory,margin_ema,0.29055690072639223,0.1884722301685157,0.2781070047141717,0.9995597622716267,0.29068487117375025,0.00044023772837332157,0.0,0.4778780541492406,5,1.0,10,10,0.47831829187761393
update_compare_open_memory,probabilistic,0.2280431432973806,0.1501535414208729,0.21933054132450866,1.0,0.2280431432973806,0.0,0.0,0.47831829187761393,1229,0.7453213995117982,10,10,0.47831829187761393
update_compare_open_memory,static,0.29231785163988555,0.18950611866763928,0.27990153352252667,0.9995597622716267,0.2924465976657124,0.00044023772837332157,0.0,0.4778780541492406,0,0.0,10,10,0.47831829187761393
update_compare_open_memory,top2_margin,0.21527624917455426,0.15933078687019073,0.20645438878337488,0.7902267224301123,0.2724233983286908,0.20977327756988773,0.10543693594541052,0.3739819502531367,923,0.7020585048754063,10,10,0.47831829187761393
bit_ablation_drift,bits16_counter,0.4909572121746802,0.488622047000643,0.4907796512661811,1.0,0.4909572121746802,0.0,0.0,0.0,20,0.25,12,12,0.0
bit_ablation_drift,bits16_static,0.5249228054697839,0.518087695001887,0.5252389953389753,1.0,0.5249228054697839,0.0,0.0,0.0,0,0.0,12,12,0.0
bit_ablation_drift,bits32_counter,0.4534627260696956,0.45127984812639393,0.4517555092532463,1.0,0.4534627260696956,0.0,0.0,0.0,76,0.39473684210526316,12,12,0.0
bit_ablation_drift,bits32_static,0.46846052051168946,0.46868290596283396,0.4671263447800608,1.0,0.46846052051168946,0.0,0.0,0.0,0,0.0,12,12,0.0
bit_ablation_drift,bits64_counter,0.33039258932509924,0.32785219976680924,0.329056848920734,1.0,0.33039258932509924,0.0,0.0,0.0,296,0.6351351351351351,12,12,0.0
